Timestamp,single_best_optimization_score,single_best_test_score,single_best_optimization_score_std,single_best_test_score_std
1,0.54376,0.5439563844108111,0.04741945292341065,0.029531339624155658
2,0.55586,0.5481816753609586,0.049591606861555865,0.02961954772018068
3,0.57058,0.5575834220929322,0.04871774529539181,0.03956780393604137
4,0.57218,0.55902321544024,0.04579048756140421,0.0409781005582588
5,0.5753999999999999,0.5601859303959461,0.04834029834873225,0.041176527878090126
6,0.5789599999999998,0.5644820196631337,0.04329449418421085,0.047597639600990296
7,0.5789599999999998,0.5644820196631337,0.04329449418421085,0.047597639600990296
8,0.58864,0.5690401880723716,0.03519064118010167,0.045497321797219256
9,0.58924,0.5699542926407231,0.036031736381510505,0.04634083183082542
10,0.58924,0.5699542926407231,0.036031736381510505,0.04634083183082542
11,0.58924,0.5699542926407231,0.036031736381510505,0.04634083183082542
12,0.58924,0.5699542926407231,0.036031736381510505,0.04634083183082542
13,0.59056,0.5717222741774908,0.03599357572308334,0.043587811412405024
14,0.59056,0.5717222741774908,0.03599357572308334,0.043587811412405024
15,0.59056,0.5717222741774908,0.03599357572308334,0.043587811412405024
16,0.59056,0.5717222741774908,0.03599357572308334,0.043587811412405024
17,0.59056,0.5717222741774908,0.03599357572308334,0.043587811412405024
18,0.59056,0.5717222741774908,0.03599357572308334,0.043587811412405024
19,0.59056,0.5717222741774908,0.03599357572308334,0.043587811412405024
20,0.59056,0.5717222741774908,0.03599357572308334,0.043587811412405024
21,0.59056,0.5717222741774908,0.03599357572308334,0.043587811412405024
22,0.5905999999999999,0.5717222741774908,0.036060572498074546,0.043587811412405024
23,0.5905999999999999,0.5717222741774908,0.036060572498074546,0.043587811412405024
24,0.5905999999999999,0.5717222741774908,0.036060572498074546,0.043587811412405024
25,0.5909599999999999,0.5717836771290671,0.03613244869765805,0.04350182115573659
26,0.5909599999999999,0.5717836771290671,0.03613244869765805,0.04350182115573659
27,0.5909599999999999,0.5717836771290671,0.03613244869765805,0.04350182115573659
28,0.5909599999999999,0.5717836771290671,0.03613244869765805,0.04350182115573659
29,0.5909599999999999,0.5717836771290671,0.03613244869765805,0.04350182115573659
30,0.5909599999999999,0.5717836771290671,0.03613244869765805,0.04350182115573659
31,0.5917199999999999,0.5717836771290671,0.03681462052560702,0.04350182115573659
32,0.5917199999999999,0.5717836771290671,0.03681462052560702,0.04350182115573659
33,0.5917199999999999,0.5717836771290671,0.03681462052560702,0.04350182115573659
34,0.5917199999999999,0.5717836771290671,0.03681462052560702,0.04350182115573659
35,0.5917199999999999,0.5717836771290671,0.03681462052560702,0.04350182115573659
36,0.5917199999999999,0.5717836771290671,0.03681462052560702,0.04350182115573659
37,0.5917199999999999,0.5717836771290671,0.03681462052560702,0.04350182115573659
38,0.5917199999999999,0.5717836771290671,0.03681462052560702,0.04350182115573659
39,0.5917199999999999,0.5717836771290671,0.03681462052560702,0.04350182115573659
40,0.5917199999999999,0.5717836771290671,0.03681462052560702,0.04350182115573659
41,0.59274,0.5723677486941183,0.03614282046425144,0.04354457426284298
42,0.59274,0.5723677486941183,0.03614282046425144,0.04354457426284298
43,0.59274,0.5723677486941183,0.03614282046425144,0.04354457426284298
