Timestamp,single_best_optimization_score,single_best_test_score,single_best_optimization_score_std,single_best_test_score_std
1,0.74048,0.7190100882723833,0.06994344076942934,0.032857994079382086
2,0.74048,0.7190100882723833,0.06994344076942934,0.032857994079382086
3,0.74048,0.7190100882723833,0.06994344076942934,0.032857994079382086
4,0.742,0.7186002522068095,0.06978225180278055,0.03285618303146049
5,0.7421599999999999,0.7186948297604034,0.06978497055638527,0.03293804629077885
6,0.74424,0.7259615384615384,0.07086318385922742,0.025156048140093493
7,0.74456,0.7272540983606557,0.07155469255518232,0.023712861538450036
8,0.74456,0.7272540983606557,0.07155469255518232,0.023712861538450036
9,0.7627999999999999,0.7406525851197981,0.0801837999709279,0.031745032921166774
10,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
11,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
12,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
13,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
14,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
15,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
16,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
17,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
18,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
19,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
20,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
21,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
22,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
23,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
24,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
25,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
26,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
27,0.766,0.7378152585119798,0.08077633316758069,0.028396729562044795
28,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
29,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
30,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
31,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
32,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
33,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
34,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
35,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
36,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
37,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
38,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
39,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
40,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
41,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
42,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
43,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
44,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
45,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
46,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
47,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
48,0.7664799999999999,0.7338430012610341,0.08043657277631858,0.027837801901489108
49,0.76728,0.7330233291298864,0.07987699387878282,0.02343596434544507
50,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
51,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
52,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
53,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
54,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
55,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
56,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
57,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
58,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
59,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
60,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
61,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
62,0.7714399999999999,0.7317622950819672,0.07766076933261307,0.0259277506037213
63,0.77272,0.7301229508196722,0.07983822264777414,0.02855231911197454
64,0.77272,0.7301229508196722,0.07983822264777414,0.02855231911197454
65,0.77272,0.7301229508196722,0.07983822264777414,0.02855231911197454
66,0.77272,0.7301229508196722,0.07983822264777414,0.02855231911197454
67,0.77272,0.7301229508196722,0.07983822264777414,0.02855231911197454
68,0.77272,0.7301229508196722,0.07983822264777414,0.02855231911197454
69,0.77272,0.7301229508196722,0.07983822264777414,0.02855231911197454
70,0.77272,0.7301229508196722,0.07983822264777414,0.02855231911197454
71,0.7730400000000001,0.7363335435056746,0.07960130026855368,0.025912229754788716
72,0.7730400000000001,0.7363335435056746,0.07960130026855368,0.025912229754788716
73,0.7730400000000001,0.7363335435056746,0.07960130026855368,0.025912229754788716
74,0.7731200000000001,0.7366488020176545,0.07960095320478965,0.025915973417745777
75,0.7731200000000001,0.7366488020176545,0.07960095320478965,0.025915973417745777
76,0.7731200000000001,0.7366488020176545,0.07960095320478965,0.025915973417745777
