mean_test_score,metric_roc_auc,metric_average_precision,mean_fit_time,params,rank_test_scores,status,budgets,param_classifier:__choice__,param_data_preprocessor:__choice__,param_feature_preprocessor:__choice__,param_classifier:LOFClassifier:contamination,param_classifier:LOFClassifier:n_neighbors,param_classifier:LOFClassifier:p,param_classifier:COPODClassifier:contamination,param_classifier:IForestClassifier:bootstrap,param_classifier:IForestClassifier:contamination,param_classifier:IForestClassifier:max_features,param_classifier:IForestClassifier:max_samples,param_classifier:IForestClassifier:n_estimators,param_classifier:CBLOFClassifier:alpha,param_classifier:CBLOFClassifier:beta,param_classifier:CBLOFClassifier:contamination,param_classifier:CBLOFClassifier:n_clusters,param_classifier:CBLOFClassifier:use_weights,param_classifier:KNNClassifier:contamination,param_classifier:KNNClassifier:method,param_classifier:KNNClassifier:n_neighbors,param_classifier:KNNClassifier:p
0.7062,0.7062,0.670064659196848,1.6240170001983643,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.4, 'classifier:LOFClassifier:n_neighbors': 52, 'classifier:LOFClassifier:p': 1}",19,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.4,52.0,1.0,,,,,,,,,,,,,,,
0.6431,0.6431,0.6135057483446326,1.2007839679718018,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.34, 'classifier:LOFClassifier:n_neighbors': 52, 'classifier:LOFClassifier:p': 2}",70,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.34,52.0,2.0,,,,,,,,,,,,,,,
0.6931,0.6931,0.6614957195248382,1.6444926261901855,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.33, 'classifier:LOFClassifier:n_neighbors': 82, 'classifier:LOFClassifier:p': 1}",36,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.33,82.0,1.0,,,,,,,,,,,,,,,
0.6706,0.6706,0.6470156246558274,1.3260612487792969,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.09999999999999999, 'classifier:LOFClassifier:n_neighbors': 40, 'classifier:LOFClassifier:p': 2}",50,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.09999999999999999,40.0,2.0,,,,,,,,,,,,,,,
0.6944,0.6944,0.6620082133241583,1.468824863433838,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.18000000000000002, 'classifier:LOFClassifier:n_neighbors': 83, 'classifier:LOFClassifier:p': 1}",31,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.18000000000000002,83.0,1.0,,,,,,,,,,,,,,,
0.7179,0.7179,0.6901936646998982,1.5986285209655762,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.4, 'classifier:LOFClassifier:n_neighbors': 33, 'classifier:LOFClassifier:p': 1}",12,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.4,33.0,1.0,,,,,,,,,,,,,,,
0.6961,0.6961,0.6628229088099019,1.43778395652771,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.32, 'classifier:LOFClassifier:n_neighbors': 65, 'classifier:LOFClassifier:p': 1}",28,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.32,65.0,1.0,,,,,,,,,,,,,,,
0.6937,0.6937,0.6632763206165133,1.5685980319976807,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.060000000000000005, 'classifier:LOFClassifier:n_neighbors': 79, 'classifier:LOFClassifier:p': 1}",34,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.060000000000000005,79.0,1.0,,,,,,,,,,,,,,,
0.7617999999999999,0.7617999999999999,0.7454175720945981,1.5145764350891113,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.06999999999999999, 'classifier:LOFClassifier:n_neighbors': 14, 'classifier:LOFClassifier:p': 1}",1,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.06999999999999999,14.0,1.0,,,,,,,,,,,,,,,
0.7419,0.7419,0.7244405824539777,1.3701350688934326,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.09, 'classifier:LOFClassifier:n_neighbors': 7, 'classifier:LOFClassifier:p': 1}",5,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.09,7.0,1.0,,,,,,,,,,,,,,,
0.7419,0.7419,0.7244405824539777,1.5711171627044678,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.49, 'classifier:LOFClassifier:n_neighbors': 7, 'classifier:LOFClassifier:p': 1}",5,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.49,7.0,1.0,,,,,,,,,,,,,,,
0.6945,0.6945,0.6623063153293439,1.603727102279663,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.08, 'classifier:LOFClassifier:n_neighbors': 85, 'classifier:LOFClassifier:p': 1}",30,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.08,85.0,1.0,,,,,,,,,,,,,,,
0.7121000000000001,0.7121000000000001,0.6711180659664135,1.4329328536987305,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.16, 'classifier:LOFClassifier:n_neighbors': 42, 'classifier:LOFClassifier:p': 1}",17,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.16,42.0,1.0,,,,,,,,,,,,,,,
0.7062,0.7062,0.670064659196848,1.5528666973114014,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.29000000000000004, 'classifier:LOFClassifier:n_neighbors': 52, 'classifier:LOFClassifier:p': 1}",19,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.29000000000000004,52.0,1.0,,,,,,,,,,,,,,,
0.6914,0.6914,0.6587830571022154,1.5841248035430908,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.42000000000000004, 'classifier:LOFClassifier:n_neighbors': 95, 'classifier:LOFClassifier:p': 1}",42,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.42000000000000004,95.0,1.0,,,,,,,,,,,,,,,
0.7007,0.7007,0.697028692774251,1.141282081604004,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.46, 'classifier:LOFClassifier:n_neighbors': 24, 'classifier:LOFClassifier:p': 2}",24,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.46,24.0,2.0,,,,,,,,,,,,,,,
0.6586,0.6586,0.6359049446335183,1.4439802169799805,"{'classifier:__choice__': 'LOFClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:LOFClassifier:contamination': 0.13, 'classifier:LOFClassifier:n_neighbors': 94, 'classifier:LOFClassifier:p': 2}",56,Success,0.0,LOFClassifier,NoPreprocessing,no_preprocessing,0.13,94.0,2.0,,,,,,,,,,,,,,,
