mean_test_score,metric_roc_auc,metric_average_precision,mean_fit_time,params,rank_test_scores,status,budgets,param_classifier:__choice__,param_data_preprocessor:__choice__,param_feature_preprocessor:__choice__,param_classifier:IForestClassifier:bootstrap,param_classifier:IForestClassifier:contamination,param_classifier:IForestClassifier:max_features,param_classifier:IForestClassifier:max_samples,param_classifier:IForestClassifier:n_estimators,param_classifier:CBLOFClassifier:alpha,param_classifier:CBLOFClassifier:beta,param_classifier:CBLOFClassifier:contamination,param_classifier:CBLOFClassifier:n_clusters,param_classifier:CBLOFClassifier:use_weights,param_classifier:LOFClassifier:contamination,param_classifier:LOFClassifier:n_neighbors,param_classifier:LOFClassifier:p,param_classifier:KNNClassifier:contamination,param_classifier:KNNClassifier:method,param_classifier:KNNClassifier:n_neighbors,param_classifier:KNNClassifier:p,param_classifier:COPODClassifier:contamination
0.7429549114331723,0.7429549114331723,0.7578876104726857,1.0866694450378418,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.3, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.9000000000000001, 'classifier:IForestClassifier:n_estimators': 100}",63,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.3,1.0,0.9000000000000001,100.0,,,,,,,,,,,,,
0.7620772946859903,0.7620772946859903,0.7680842255981623,1.547123908996582,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.45, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.55, 'classifier:IForestClassifier:n_estimators': 195}",16,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.45,1.0,0.55,195.0,,,,,,,,,,,,,
0.7391304347826088,0.7391304347826088,0.7437560923251583,0.9314866065979004,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.4, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.6000000000000001, 'classifier:IForestClassifier:n_estimators': 70}",68,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.4,1.0,0.6000000000000001,70.0,,,,,,,,,,,,,
0.7524154589371981,0.7524154589371981,0.7490974554840355,1.5355463027954102,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.35000000000000003, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.6000000000000001, 'classifier:IForestClassifier:n_estimators': 195}",37,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.35000000000000003,1.0,0.6000000000000001,195.0,,,,,,,,,,,,,
0.7183977455716586,0.7183977455716586,0.7310653228506552,0.6794559955596924,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.35000000000000003, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.8500000000000001, 'classifier:IForestClassifier:n_estimators': 15}",87,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.35000000000000003,1.0,0.8500000000000001,15.0,,,,,,,,,,,,,
0.7465780998389694,0.7465780998389694,0.7591188971966434,1.354231595993042,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.1, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.5, 'classifier:IForestClassifier:n_estimators': 150}",57,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.1,1.0,0.5,150.0,,,,,,,,,,,,,
0.7481884057971014,0.7481884057971014,0.7596940674692336,0.6996102333068848,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.2, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.9000000000000001, 'classifier:IForestClassifier:n_estimators': 20}",53,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.2,1.0,0.9000000000000001,20.0,,,,,,,,,,,,,
0.715378421900161,0.715378421900161,0.7017046375142109,0.6842024326324463,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.4, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.45, 'classifier:IForestClassifier:n_estimators': 20}",90,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.4,1.0,0.45,20.0,,,,,,,,,,,,,
0.7423510466988728,0.7423510466988728,0.7620497293074391,0.978386640548706,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.35000000000000003, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.7, 'classifier:IForestClassifier:n_estimators': 80}",64,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.35000000000000003,1.0,0.7,80.0,,,,,,,,,,,,,
0.730877616747182,0.730877616747182,0.7531349978264165,0.9820995330810547,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.1, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.8500000000000001, 'classifier:IForestClassifier:n_estimators': 75}",83,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.1,1.0,0.8500000000000001,75.0,,,,,,,,,,,,,
