dataset_name,dataset_iter,search_type,num_classifiers,validation_strategy,validation_size,total_budget,per_run_budget
ALOI,1,ue,5,stratified,20,600,30
ALOI,1,random,1,stratified,20,120,30
ALOI,1,random,1,stratified,20,120,30
ALOI,1,random,1,stratified,20,120,30
ALOI,1,random,1,stratified,20,120,30
ALOI,1,random,1,stratified,20,120,30
ALOI,1,random,5,stratified,20,600,30
ALOI,1,smac,5,stratified,20,600,30
ALOI,1,ue,5,stratified,50,600,30
ALOI,1,random,1,stratified,50,120,30
ALOI,1,random,1,stratified,50,120,30
ALOI,1,random,1,stratified,50,120,30
ALOI,1,random,1,stratified,50,120,30
ALOI,1,random,1,stratified,50,120,30
ALOI,1,random,5,stratified,50,600,30
ALOI,1,smac,5,stratified,50,600,30
ALOI,1,ue,5,stratified,100,600,30
ALOI,1,random,1,stratified,100,120,30
ALOI,1,random,1,stratified,100,120,30
ALOI,1,random,1,stratified,100,120,30
ALOI,1,random,1,stratified,100,120,30
ALOI,1,random,1,stratified,100,120,30
ALOI,1,random,5,stratified,100,600,30
ALOI,1,smac,5,stratified,100,600,30
ALOI,1,ue,5,stratified,200,600,30
ALOI,1,random,1,stratified,200,120,30
ALOI,1,random,1,stratified,200,120,30
ALOI,1,random,1,stratified,200,120,30
ALOI,1,random,1,stratified,200,120,30
ALOI,1,random,1,stratified,200,120,30
ALOI,1,random,5,stratified,200,600,30
ALOI,1,smac,5,stratified,200,600,30
ALOI,1,ue,5,balanced,20,600,30
ALOI,1,random,1,balanced,20,120,30
ALOI,1,random,1,balanced,20,120,30
ALOI,1,random,1,balanced,20,120,30
ALOI,1,random,1,balanced,20,120,30
ALOI,1,random,1,balanced,20,120,30
ALOI,1,random,5,balanced,20,600,30
ALOI,1,smac,5,balanced,20,600,30
ALOI,1,ue,5,balanced,50,600,30
ALOI,1,random,1,balanced,50,120,30
ALOI,1,random,1,balanced,50,120,30
ALOI,1,random,1,balanced,50,120,30
ALOI,1,random,1,balanced,50,120,30
ALOI,1,random,1,balanced,50,120,30
ALOI,1,random,5,balanced,50,600,30
ALOI,1,smac,5,balanced,50,600,30
ALOI,1,ue,5,balanced,100,600,30
ALOI,1,random,1,balanced,100,120,30
ALOI,1,random,1,balanced,100,120,30
ALOI,1,random,1,balanced,100,120,30
ALOI,1,random,1,balanced,100,120,30
ALOI,1,random,1,balanced,100,120,30
ALOI,1,random,5,balanced,100,600,30
ALOI,1,smac,5,balanced,100,600,30
ALOI,1,ue,5,balanced,200,600,30
ALOI,1,random,1,balanced,200,120,30
ALOI,1,random,1,balanced,200,120,30
ALOI,1,random,1,balanced,200,120,30
ALOI,1,random,1,balanced,200,120,30
ALOI,1,random,1,balanced,200,120,30
ALOI,1,random,5,balanced,200,600,30
ALOI,1,smac,5,balanced,200,600,30
Annthyroid,1,ue,5,stratified,20,600,30
Annthyroid,1,random,1,stratified,20,120,30
Annthyroid,1,random,1,stratified,20,120,30
Annthyroid,1,random,1,stratified,20,120,30
Annthyroid,1,random,1,stratified,20,120,30
Annthyroid,1,random,1,stratified,20,120,30
Annthyroid,1,random,5,stratified,20,600,30
Annthyroid,1,smac,5,stratified,20,600,30
Annthyroid,1,ue,5,stratified,50,600,30
Annthyroid,1,random,1,stratified,50,120,30
Annthyroid,1,random,1,stratified,50,120,30
Annthyroid,1,random,1,stratified,50,120,30
Annthyroid,1,random,1,stratified,50,120,30
Annthyroid,1,random,1,stratified,50,120,30
Annthyroid,1,random,5,stratified,50,600,30
Annthyroid,1,smac,5,stratified,50,600,30
Annthyroid,1,ue,5,stratified,100,600,30
Annthyroid,1,random,1,stratified,100,120,30
Annthyroid,1,random,1,stratified,100,120,30
Annthyroid,1,random,1,stratified,100,120,30
Annthyroid,1,random,1,stratified,100,120,30
Annthyroid,1,random,1,stratified,100,120,30
Annthyroid,1,random,5,stratified,100,600,30
Annthyroid,1,smac,5,stratified,100,600,30
Annthyroid,1,ue,5,stratified,200,600,30
Annthyroid,1,random,1,stratified,200,120,30
Annthyroid,1,random,1,stratified,200,120,30
Annthyroid,1,random,1,stratified,200,120,30
Annthyroid,1,random,1,stratified,200,120,30
Annthyroid,1,random,1,stratified,200,120,30
Annthyroid,1,random,5,stratified,200,600,30
Annthyroid,1,smac,5,stratified,200,600,30
Annthyroid,1,ue,5,balanced,20,600,30
Annthyroid,1,random,1,balanced,20,120,30
Annthyroid,1,random,1,balanced,20,120,30
Annthyroid,1,random,1,balanced,20,120,30
Annthyroid,1,random,1,balanced,20,120,30
Annthyroid,1,random,1,balanced,20,120,30
Annthyroid,1,random,5,balanced,20,600,30
Annthyroid,1,smac,5,balanced,20,600,30
Annthyroid,1,ue,5,balanced,50,600,30
Annthyroid,1,random,1,balanced,50,120,30
Annthyroid,1,random,1,balanced,50,120,30
Annthyroid,1,random,1,balanced,50,120,30
Annthyroid,1,random,1,balanced,50,120,30
Annthyroid,1,random,1,balanced,50,120,30
Annthyroid,1,random,5,balanced,50,600,30
Annthyroid,1,smac,5,balanced,50,600,30
Annthyroid,1,ue,5,balanced,100,600,30
Annthyroid,1,random,1,balanced,100,120,30
Annthyroid,1,random,1,balanced,100,120,30
Annthyroid,1,random,1,balanced,100,120,30
Annthyroid,1,random,1,balanced,100,120,30
Annthyroid,1,random,1,balanced,100,120,30
Annthyroid,1,random,5,balanced,100,600,30
Annthyroid,1,smac,5,balanced,100,600,30
Annthyroid,1,ue,5,balanced,200,600,30
Annthyroid,1,random,1,balanced,200,120,30
Annthyroid,1,random,1,balanced,200,120,30
Annthyroid,1,random,1,balanced,200,120,30
Annthyroid,1,random,1,balanced,200,120,30
Annthyroid,1,random,1,balanced,200,120,30
Annthyroid,1,random,5,balanced,200,600,30
Annthyroid,1,smac,5,balanced,200,600,30
Arrhythmia,1,ue,5,stratified,20,600,30
Arrhythmia,1,random,1,stratified,20,120,30
Arrhythmia,1,random,1,stratified,20,120,30
Arrhythmia,1,random,1,stratified,20,120,30
Arrhythmia,1,random,1,stratified,20,120,30
Arrhythmia,1,random,1,stratified,20,120,30
Arrhythmia,1,random,5,stratified,20,600,30
